UsedCard,Sex,Age,Income,Emp,Sex_Emp
0,1,32,5,1,1
1,0,17,1,1,0
1,0,61,1,1,0
0,1,59,1,0,0
0,0,32,4,0,0
0,0,73,4,0,0
0,0,18,3,1,0
0,1,42,4,1,1
1,1,47,4,0,0
1,1,43,3,0,0
0,1,62,2,1,1
0,0,33,5,0,0
0,1,30,1,1,1
0,0,65,1,0,0
0,1,35,1,0,0
0,0,23,2,0,0
0,1,68,3,1,1
0,0,22,1,1,0
1,0,33,5,0,0
0,1,74,5,0,0
1,1,23,4,1,1
1,0,27,5,0,0
0,0,30,1,1,0
1,0,28,1,0,0
1,1,30,2,0,0
1,1,40,3,1,1
1,0,32,5,0,0
0,1,24,3,1,1
1,1,26,1,1,1
0,0,38,2,0,0
0,0,71,5,1,0
1,1,40,1,1,1
0,1,39,3,1,1
1,1,73,2,0,0
0,0,61,5,1,0
0,0,23,2,0,0
0,1,16,1,1,1
1,0,65,1,1,0
0,1,16,3,1,1
0,1,75,4,1,1
0,1,18,1,1,1
1,1,73,2,1,1
1,0,18,3,0,0
1,1,43,2,0,0
1,1,45,4,1,1
0,0,72,4,1,0
1,1,22,1,0,0
1,0,69,4,0,0
0,0,17,5,0,0
1,1,23,4,0,0
1,0,66,5,0,0
1,0,15,1,1,0
0,0,74,4,1,0
1,1,23,3,0,0
0,1,57,1,0,0
0,0,50,2,0,0
0,1,38,1,1,1
0,1,20,5,1,1
0,0,31,1,0,0
0,1,25,1,0,0
0,0,70,5,0,0
1,0,71,3,1,0
1,1,26,1,0,0
0,1,35,5,0,0
1,0,32,3,0,0
1,0,53,3,0,0
0,1,52,4,1,1
0,0,48,4,0,0
1,1,53,2,1,1
1,1,16,1,0,0
1,1,58,3,0,0
0,1,34,2,1,1
1,1,24,3,1,1
0,0,65,5,0,0
1,0,24,1,0,0
0,0,47,3,1,0
0,1,41,5,1,1
1,0,22,2,0,0
1,0,32,4,1,0
0,0,50,4,1,0
0,1,69,1,1,1
0,1,58,4,1,1
0,0,65,2,0,0
0,0,72,2,0,0
1,0,58,3,0,0
1,1,38,1,0,0
1,0,21,1,1,0
0,1,18,2,1,1
0,0,26,3,0,0
1,1,26,5,0,0
0,1,74,2,1,1
0,1,50,5,0,0
1,1,72,1,0,0
0,1,57,3,1,1
0,1,55,5,0,0
0,0,56,4,0,0
0,0,47,3,1,0
0,0,56,4,0,0
0,0,50,5,1,0
1,1,18,5,1,1
0,1,62,2,0,0
1,0,48,1,1,0
1,1,62,2,0,0
1,1,64,1,1,1
1,0,25,2,1,0
0,0,41,4,1,0
1,0,33,5,0,0
1,1,62,2,1,1
0,0,72,4,0,0
0,1,49,2,1,1
1,0,69,3,1,0
0,1,75,5,0,0
1,0,45,2,1,0
1,1,62,4,1,1
0,1,26,3,0,0
1,1,31,5,1,1
0,1,29,4,0,0
0,1,38,2,1,1
0,1,26,3,0,0
0,0,16,5,1,0
0,0,35,3,0,0
0,0,25,2,1,0
0,1,29,1,1,1
1,1,38,4,1,1
0,1,29,5,0,0
1,1,39,5,0,0
0,0,64,2,1,0
0,0,58,1,0,0
1,0,28,4,0,0
1,1,72,2,0,0
1,0,46,5,0,0
1,0,27,5,1,0
1,0,61,5,0,0
0,1,53,3,0,0
0,1,72,4,0,0
0,1,21,3,1,1
0,1,17,4,0,0
0,1,51,3,1,1
1,1,37,2,1,1
1,1,36,2,0,0
0,0,28,1,0,0
1,1,47,1,1,1
0,1,16,1,0,0
0,0,72,4,0,0
0,1,63,1,0,0
1,1,74,2,1,1
1,1,50,3,0,0
0,0,37,1,0,0
1,1,46,5,1,1
1,1,36,2,0,0
0,1,36,2,0,0
0,1,73,2,1,1
0,0,27,2,0,0
0,1,63,1,0,0
0,1,18,4,0,0
1,0,65,1,0,0
1,1,27,5,1,1
1,0,54,2,1,0
0,1,36,3,1,1
1,1,43,4,1,1
1,1,41,5,1,1
0,1,75,1,1,1
0,1,66,5,1,1
1,1,54,2,1,1
0,0,48,4,0,0
0,1,32,1,1,1
1,1,72,3,1,1
0,0,64,3,0,0
0,1,22,2,1,1
1,1,71,1,1,1
0,1,44,4,1,1
0,0,48,3,0,0
0,1,48,2,1,1
1,1,71,3,0,0
0,0,69,3,0,0
1,1,62,5,1,1
1,0,75,4,0,0
0,0,40,1,0,0
1,1,50,3,1,1
1,1,70,1,0,0
1,0,44,5,0,0
0,1,19,1,0,0
1,1,71,5,0,0
0,0,67,2,0,0
0,1,39,1,0,0
1,0,56,1,1,0
0,1,17,4,0,0
1,0,24,3,1,0
0,0,44,3,0,0
1,1,21,1,1,1
0,0,59,2,0,0
0,0,37,5,0,0
0,0,29,2,0,0
1,0,31,4,1,0
0,0,38,4,0,0
1,0,68,1,1,0
1,1,51,3,0,0
0,1,36,3,0,0
0,1,23,2,0,0
1,0,19,5,0,0
1,0,75,3,0,0
1,0,55,1,0,0
1,0,67,5,1,0
1,0,71,3,0,0
0,0,38,5,0,0
0,1,46,5,1,1
0,1,66,2,1,1
1,0,29,4,1,0
0,0,15,3,1,0
0,0,67,2,0,0
0,0,54,3,0,0
1,0,32,3,1,0
1,0,74,4,1,0
0,0,15,4,1,0
