UsedCard,Sex,Age,Edu,Income,Emp,Sex_Emp
0,1,29,2,1,1,1
1,1,44,3,5,1,1
1,0,22,3,5,1,0
1,1,65,1,3,1,1
0,0,46,3,5,1,0
1,0,32,3,5,0,0
1,1,74,3,5,0,0
0,1,55,2,5,1,1
0,0,31,1,3,1,0
1,0,29,3,5,1,0
1,1,55,2,5,1,1
1,1,56,1,4,1,1
0,1,63,2,2,1,1
1,0,48,3,5,1,0
1,1,21,3,5,1,1
0,0,40,1,1,1,0
1,0,47,3,5,1,0
1,1,53,2,4,1,1
1,0,67,3,5,0,0
1,0,60,1,4,1,0
1,0,28,2,5,1,0
1,0,30,3,4,1,0
1,1,30,3,4,1,1
0,1,52,1,5,1,1
1,0,29,3,3,1,0
1,1,42,2,5,1,1
1,0,49,3,5,1,0
1,0,63,2,5,1,0
1,1,25,2,4,1,1
0,0,27,2,2,0,0
1,1,33,2,4,1,1
0,0,30,3,5,1,0
1,0,32,3,5,1,0
1,1,25,3,5,1,1
1,1,23,2,5,1,1
1,1,56,3,5,1,1
1,0,28,3,5,0,0
1,1,58,3,5,1,1
1,1,63,3,3,0,0
0,1,49,2,5,1,1
0,0,24,3,4,1,0
0,0,38,3,5,0,0
0,1,23,1,2,0,0
1,0,28,3,5,1,0
1,1,56,3,5,1,1
1,1,49,3,4,1,1
1,0,52,2,2,1,0
1,1,31,2,5,1,1
1,1,53,3,5,1,1
0,1,37,3,5,1,1
1,0,26,2,5,1,0
1,1,38,2,4,1,1
0,0,20,2,4,0,0
1,0,40,3,3,1,0
1,0,52,2,3,1,0
1,1,47,2,2,1,1
1,1,39,2,5,1,1
1,1,35,3,3,1,1
1,0,23,3,5,1,0
0,1,39,3,5,1,1
0,0,19,2,4,0,0
1,1,31,2,4,1,1
1,1,45,2,3,1,1
1,0,33,3,5,1,0
1,0,42,2,3,0,0
1,1,33,3,5,1,1
1,1,28,2,5,1,1
1,1,52,2,3,1,1
1,1,37,2,5,1,1
1,1,51,3,5,1,1
1,0,35,3,1,1,0
0,0,23,3,5,1,0
1,1,52,3,5,1,1
1,1,36,2,3,1,1
0,0,46,2,5,1,0
1,1,27,2,4,1,1
0,1,28,2,5,1,1
1,0,42,3,4,1,0
1,1,48,2,4,1,1
1,1,31,3,3,1,1
1,0,22,3,5,1,0
1,1,37,2,3,1,1
1,1,38,2,3,1,1
1,1,40,3,4,1,1
0,1,52,3,5,1,1
0,1,25,3,4,0,0
0,1,29,2,5,1,1
1,1,24,1,2,1,1
1,1,47,2,4,1,1
1,1,22,1,4,1,1
1,1,21,1,4,1,1
1,1,35,2,1,1,1
1,1,58,3,4,1,1
1,1,45,2,4,1,1
1,1,25,2,5,1,1
1,1,64,2,5,1,1
1,1,45,3,4,0,0
1,0,29,2,3,1,0
1,1,35,2,5,1,1
1,1,51,3,5,1,1
1,1,73,1,2,0,0
1,0,46,2,1,0,0
0,1,45,3,4,1,1
1,1,28,3,5,1,1
1,0,48,2,3,1,0
1,1,43,2,4,1,1
1,1,31,3,4,1,1
1,1,43,2,3,1,1
0,0,60,3,5,1,0
1,1,64,2,4,0,0
